Title,Year,Age,IMDb,Rotten Tomatoes
The Birdcage,1996,18+,7.1,79%
Three Days of the Condor,1975,18+,7.4,86%
My Man Godfrey,1936,none,8,97%
Murder on the Orient Express,1974,7+,7.3,89%
Indie Game: The Movie,2012,none,7.6,94%
The Boondock Saints,1999,18+,7.8,22%
Miss Sloane,2016,18+,7.5,76%
Ernest & Celestine,2012,7+,7.9,97%
You Were Never Really Here,2017,18+,6.8,89%
Moonstruck,1987,7+,7.1,93%
An Honest Liar,2014,none,7.5,97%
Sholay,1975,none,8.2,90%
The Proposition,2005,18+,7.4,86%
Fist of Fury,1972,18+,7.4,92%
Fitzcarraldo,1982,7+,8.1,78%
The Big Country,1958,none,7.9,100%
You Can Count on Me,2000,18+,7.5,95%
Brawl in Cell Block 99,2017,none,7.1,91%
Arctic,2018,13+,6.8,89%
Paradise Lost 3: Purgatory,2011,none,8.1,100%
Midnight Special,2016,13+,6.6,83%
King of Devil's Island,2010,none,7.5,94%
Scarlet Street,1945,none,7.8,100%
First Reformed,2018,18+,7.1,93%
Meru,2015,18+,7.7,89%
The Report,2019,18+,7.2,81%
The Sweet Hereafter,1997,18+,7.5,100%
Dead Ringers,1988,18+,7.3,82%
Triangle,2009,18+,6.9,80%
Gallipoli,1981,7+,7.4,91%
Terms of Endearment,1983,7+,7.4,78%
"Steamboat Bill, Jr.",1928,none,7.9,100%
Thunder Road,2018,none,7.1,96%
Pretty in Pink,1986,13+,6.8,77%
The Kings of Summer,2013,18+,7.1,75%
You Don't Know Jack,2010,none,7.6,91%
if....,1968,18+,7.5,93%
Beautiful Boy,2018,18+,7.3,69%
Hard Eight,1996,18+,7.2,84%
Ginger Snaps,2000,18+,6.8,89%
Robot & Frank,2012,13+,7.1,86%
Particle Fever,2013,none,7.4,96%
Salyut-7,2017,13+,7.2,100%
The Last Black Man in San Francisco,2019,18+,7.3,93%
Adam's Apples,2005,18+,7.8,70%
Gia,1998,18+,7,92%
And the Band Played On,1993,13+,7.8,100%
Sophie Scholl: The Final Days,2005,none,7.6,87%
Hellraiser,1987,18+,7,70%
The Court Jester,1955,none,7.9,96%
Air Force One,1997,18+,6.5,76%
Get the Gringo,2012,18+,7,82%
Eat Drink Man Woman,1994,13+,7.8,91%
Big Night,1996,18+,7.3,96%
K.G.F: Chapter 1,2018,none,8.2,67%
Mahanati,2018,7+,8.5,100%
Reds,1981,7+,7.3,90%
Bernie,2012,13+,6.8,88%
Ink,2009,none,6.9,100%
Dog Soldiers,2002,18+,6.8,77%
The Aeronauts,2019,13+,6.6,72%
The Lost City of Z,2016,13+,6.6,87%
Rab Ne Bana Di Jodi,2008,7+,7.2,78%
Soldier's Girl,2003,18+,7.9,88%
The Endless Summer,1966,7+,7.7,100%
Laurence Anyways,2012,13+,7.7,84%
A Street Cat Named Bob,2016,none,7.3,77%
Holiday Inn,1942,none,7.4,100%
The Snowman,1982,all,8.2,80%
A Bridge Too Far,1977,7+,7.4,64%
Funny Face,1957,none,7,86%
Murderball,2005,18+,7.7,98%
Wake in Fright,1971,18+,7.7,96%
A Most Wanted Man,2014,18+,6.8,87%
The Girl Who Played with Fire,2009,18+,7.2,69%
Frantz,2016,13+,7.5,91%
Thappad,2020,none,7.2,92%
Runaway Train,1985,18+,7.2,85%
Invisible Life,2019,18+,7.9,93%
House of Sand and Fog,2003,18+,7.5,74%
Behind the Candelabra,2013,18+,7,95%
Angst,1983,none,7.3,100%
Fanaa,2006,7+,7.2,100%
Intolerance: Love's Struggle Throughout the Ages,1916,none,7.8,97%
Brittany Runs a Marathon,2019,18+,6.8,89%
Bill Cunningham New York,2011,none,7.9,99%
What Maisie Knew,2013,18+,7.4,86%
Citizen X,1995,18+,7.5,88%
Kirikou and the Sorceress,1998,none,7.5,96%
Some Kind of Wonderful,1987,13+,7.1,81%
The Phantom of the Opera,1925,13+,7.6,91%
Masquerade,2012,none,7.8,100%
Sultan,2016,none,7,83%
Heidi,2015,all,7.4,100%
Better Watch Out,2016,18+,6.5,89%
The Letter,1940,none,7.6,100%
What If,2013,13+,6.8,73%
Truman,2015,16+,7.3,99%
20.000 Days on Earth,2014,none,7.5,95%
Marshall,2017,13+,7.2,80%
Flickering Lights,2000,none,7.7,70%
McQueen,2018,18+,7.8,99%
The Band's Visit,2007,13+,7.5,98%
One Day in September,1999,18+,7.8,97%
The Doors,1991,18+,7.2,57%
Turbo Kid,2015,none,6.7,90%
One Child Nation,2019,18+,7.5,98%
4 Moons,2014,none,7.5,86%
A Prayer Before Dawn,2018,18+,6.9,92%
The Pink Panther Strikes Again,1976,7+,7.2,80%
Disobedience,2017,18+,6.6,84%
Transsiberian,2008,18+,6.7,92%
Climax,2018,18+,7.1,69%
The Spy Who Came in from the Cold,1965,none,7.6,87%
House of Games,1987,18+,7.3,96%
Gleason,2016,18+,8.4,96%
The Central Park Five,2012,none,7.7,93%
The Most Dangerous Game,1932,none,7.1,100%
Priceless,2006,13+,7,82%
House on Haunted Hill,1959,none,6.9,88%
The Crazies,2010,18+,6.5,71%
Late Night,2019,18+,6.5,80%
The Treatment,2014,none,7.2,93%
Karwaan,2018,none,7.5,71%
The Decline of Western Civilization,1981,none,7.6,100%
Atlantic City,1980,18+,7.3,100%
Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,none,8.6,100%
Blow the Man Down,2019,18+,6.4,99%
Suspiria,2018,18+,6.8,65%
Hindi Medium,2017,none,7.8,78%
King of New York,1990,18+,7,73%
Three… Extremes,2004,18+,7,84%
The Invisible War,2012,none,7.6,99%
We Were Here,2011,none,7.9,100%
Carnival of Souls,1962,7+,7.1,86%
The Whistleblower,2010,18+,7.1,75%
Accattone,1961,none,7.8,100%
"Run Silent, Run Deep",1958,none,7.3,100%
Shoeshine,1946,none,8,100%
Opera,1987,18+,7,90%
The Tillman Story,2010,18+,7.7,93%
Dhoom 2,2006,13+,6.5,92%
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,none,8.3,100%
The Man from Earth,2007,13+,7.9,none
Lean on Pete,2018,18+,7.2,91%
Harry Brown,2009,18+,7.2,63%
The Girl Who Kicked the Hornet's Nest,2009,18+,7.3,54%
Ghost Town,2008,13+,6.7,85%
They Call Me Jeeg,2015,none,7.1,75%
Friday the 13th,1980,18+,6.5,63%
Sabotage,1937,none,7.1,100%
Pyaasa,1957,none,8.5,100%
He Loves Me… He Loves Me Not,2002,13+,7.2,71%
Birdy,1984,18+,7.3,85%
The Secret of Roan Inish,1995,7+,7.5,95%
Meet John Doe,1941,none,7.7,91%
Death of a Salesman,1985,7+,7.3,100%
Spirits in the Forest,2019,none,7.8,100%
Kannathil Muthamittal,2002,none,8.4,83%
Polytechnique,2009,none,7.2,87%
The King's Choice,2016,none,7.1,84%
Who Killed the Electric Car?,2006,7+,7.6,89%
Stuck in Love,2012,18+,7.2,57%
A Star Is Born,1937,none,7.3,100%
Heavy Trip,2018,none,7,93%
Bad Boy Bubby,1993,none,7.4,83%
Breakdown,1997,18+,6.9,80%
The House of the Devil,2009,18+,6.4,87%
Unsane,2018,18+,6.4,80%
Waco: The Rules of Engagement,1997,13+,7.9,88%
Dead Snow 2: Red vs. Dead,2014,18+,6.9,81%
Magic Mike,2012,18+,6.1,79%
Colette,2018,18+,6.7,87%
The Gospel According to Matthew,1965,none,7.8,91%
Life According to Sam,2013,all,8.2,100%
Draft Day,2014,13+,6.8,59%
Capitalism: A Love Story,2009,18+,7.4,75%
Best Worst Movie,2009,none,7.3,94%
Papillon,2017,18+,7.2,52%
The Battery,2012,none,6.4,100%
Heartstone,2016,none,7.4,84%
"Don't Worry, He Won't Get Far on Foot",2018,18+,6.9,76%
Dark Days,2000,none,7.8,94%
Tab Hunter Confidential,2015,none,7.7,88%
Ash Is Purest White,2018,none,7,99%
Paradise Lost 2: Revelations,2000,none,7.6,91%
4 Little Girls,1997,16+,7.8,100%
Jay and Silent Bob Reboot,2019,18+,5.8,66%
Woody Allen: A Documentary,2011,none,7.7,90%
Phantasm,1979,18+,6.8,73%
Dark Water,2002,13+,6.7,80%
Southern Comfort,1981,18+,7.2,82%
Becoming Astrid,2018,none,7.1,96%
The Snow Walker,2003,7+,7.3,86%
Braven,2018,18+,6,77%
Sunshine Cleaning,2008,18+,6.8,74%
The Woman in Black,2012,13+,6.4,67%
Rambo: Last Blood,2019,18+,6.2,27%
The Strange Love of Martha Ivers,1946,none,7.4,100%
Gaslight,1940,none,7.3,100%
I've Loved You So Long,2008,13+,7.6,88%
Behind the Mask: The Rise of Leslie Vernon,2006,18+,6.7,76%
These Final Hours,2014,18+,6.7,84%
The Man with the Golden Arm,1955,none,7.4,86%
Lost Soul: The Doomed Journey of Richard Stanley's “Island of Dr. Moreau”,2014,none,7.5,100%
A Private War,2018,18+,6.7,87%
"Nightmares in Red, White and Blue",2009,none,7.2,100%
Transit,2018,none,6.9,94%
Fateless,2005,18+,6.9,94%
Hell House LLC,2015,none,6.4,89%
Last Days in Vietnam,2014,none,7.6,95%
The Man Who Fell to Earth,1976,18+,6.7,83%
The Monster Squad,1987,13+,7.1,64%
The Barkley Marathons: The Race That Eats Its Young,2014,none,7.8,67%
Passion Fish,1992,18+,7.4,100%
7 Boxes,2012,16+,7.1,97%
Embrace,2016,7+,7.2,100%
Rosencrantz & Guildenstern Are Dead,1991,7+,7.5,62%
Emmet Otter's Jug-Band Christmas,1977,none,8.3,100%
Love & Friendship,2016,13+,6.4,97%
Phenomena,1985,18+,6.8,78%
Grey Gardens,2009,7+,7.4,87%
Room at the Top,1959,none,7.5,100%
Salt of the Earth,1954,none,7.4,100%
Macbeth,2015,18+,6.6,80%
You Only Live Once,1937,none,7.4,100%
Deathgasm,2015,none,6.3,87%
Danny Collins,2015,18+,7,77%
Too Big to Fail,2011,18+,7.3,74%
Bad Taste,1987,18+,6.6,68%
The Naked Kiss,1964,none,7.3,93%
Breathe,2017,13+,7.1,68%
Ballet Shoes,2008,7+,6.6,100%
Charlie Bartlett,2007,18+,7,57%
My Friend Dahmer,2017,18+,6.2,87%
1945,2017,none,7.1,97%
Welcome to Dongmakgol,2005,none,7.7,86%
The Panama Papers,2018,13+,7.2,100%
Explorers,1985,7+,6.6,77%
"A Time to Live, a Time to Die",1985,7+,7.7,100%
Spider Baby,1967,none,6.9,92%
Janis: Little Girl Blue,2015,18+,7.4,94%
To Hell and Back: The Kane Hodder Story,2017,none,7.8,100%
Fat City,1972,7+,7.3,100%
The Dressmaker,2015,18+,7.1,57%
Last Flag Flying,2017,18+,6.9,77%
The Ninth Gate,1999,18+,6.7,43%
A Town Called Panic,2009,7+,7.5,81%
Sweet Country,2018,18+,6.9,96%
Game Change,2012,18+,7.4,68%
Penelope,2006,7+,6.7,54%
Don't Torture a Duckling,1972,none,7.1,80%
Igby Goes Down,2002,18+,6.9,76%
The Decline of Western Civilization Part II: The Metal Years,1988,18+,7.2,100%
The Brand New Testament,2015,none,7.1,82%
Ugly,2013,none,8,63%
"Jeff, Who Lives at Home",2011,18+,6.5,77%
Resolution,2012,none,6.4,85%
The Little Princess,1939,all,7.2,88%
The Love Witch,2016,none,6.2,95%
Ben X,2007,none,7.4,68%
Bilal: A New Breed of Hero,2015,13+,7.9,58%
Teddy Bear,2012,none,7.1,94%
The War Zone,1999,18+,7.3,84%
The Party,2017,18+,6.6,81%
Anti Matter,2016,none,5.8,88%
Stake Land,2010,18+,6.5,74%
The Babushkas of Chernobyl,2015,none,7.9,100%
Cul-de-sac,1966,none,7.1,83%
I Dream in Another Language,2017,18+,7.4,80%
Alive Inside,2014,7+,8.2,74%
The Gathering Storm,2002,all,7.5,83%
The Hospital,1971,13+,7.2,100%
Broken Blossoms,1919,13+,7.3,95%
Wrinkles,2011,none,7.6,96%
Like Crazy,2011,13+,6.7,71%
Journey's End,2017,18+,6.6,92%
Internal Affairs,1990,18+,6.5,88%
Changing Lanes,2002,18+,6.4,77%
Longford,2006,18+,7.6,100%
Nas: Time Is Illmatic,2014,16+,7.1,100%
Agora,2009,13+,7.2,53%
The Dresser,1983,7+,7.6,100%
Café Society,2016,13+,6.6,71%
Trees Lounge,1996,18+,7.1,81%
Sharkwater Extinction,2018,none,7.7,100%
Suburbia,1984,18+,7,92%
Raising Victor Vargas,2002,18+,7.2,96%
Faults,2014,none,6.7,91%
Milius,2013,7+,7.5,94%
City of Ghosts,2017,18+,7.4,98%
Proof,1991,18+,7.2,94%
The First Time,2012,13+,6.8,47%
The Mountain II,2016,all,8.9,none
Danger Close,2019,18+,6.9,71%
Back Roads,2019,none,6.7,68%
Troop Zero,2019,7+,6.9,67%
Salmon Fishing in the Yemen,2012,13+,6.8,67%
Street Fight,2005,none,7.9,100%
Battle of Britain,1969,all,7,67%
Titli,2015,none,7.6,92%
Mr. Six,2015,13+,7,83%
Blood and Black Lace,1964,18+,7.2,86%
Jin-Roh: The Wolf Brigade,1999,18+,7.4,55%
The Tuskegee Airmen,1995,13+,7.1,88%
She's Beautiful When She's Angry,2014,none,7.8,93%
Maidentrip,2014,none,7.5,83%
The Laramie Project,2002,16+,7.2,92%
The Golem: How He Came into the World,1920,none,7.2,100%
Dilwale Dulhania Le Jayenge,1995,7+,8.1,none
Support Your Local Sheriff,1969,all,7.5,73%
Last Cab to Darwin,2015,none,7.2,89%
Burn Notice: The Fall of Sam Axe,2011,7+,7.2,90%
The Plague Dogs,1982,13+,7.8,57%
Cloudburst,2011,none,7.2,100%
Valentine Road,2013,16+,7.1,91%
Wendy and Lucy,2008,18+,7.1,85%
Rat Race,2001,13+,6.4,44%
Rivers and Tides,2001,all,7.9,99%
Fan,2016,none,7,78%
All the Mornings of the World,1991,none,7.5,89%
Light of My Life,2019,18+,6.6,79%
The Big Combo,1955,none,7.4,92%
The Beauty Inside,2015,none,7.4,70%
Beneath Hill 60,2010,18+,7.1,85%
Naked Gun 33⅓: The Final Insult,1994,13+,6.5,54%
Recount,2008,18+,7.4,78%
Dragonslayer,1981,7+,6.7,87%
Lawn Dogs,1997,18+,7.5,72%
The Flowers of War,2011,18+,7.6,41%
Reefer Madness: The Movie Musical,2006,18+,7.1,71%
Veteran,2015,none,7,90%
Mardaani,2014,13+,7.3,67%
Thin,2006,13+,7.4,100%
California Split,1974,18+,7.2,88%
Out of Time,2003,18+,6.5,64%
Tales of the Grim Sleeper,2014,18+,7,100%
Fahrenheit 11/9,2018,18+,6.9,81%
Gimme Danger,2016,18+,7.2,94%
Salaam Namaste,2005,7+,6.2,83%
D.O.A.,1950,all,7.3,88%
McLintock!,1963,none,7.2,67%
The Long Riders,1980,18+,7,83%
Any Day Now,2012,18+,7.5,79%
"Fat, Sick & Nearly Dead",2010,none,7.5,69%
Kill the Irishman,2011,18+,7.1,62%
A Coffee in Berlin,2012,none,7.4,77%
Penny Serenade,1941,none,7.1,94%
Rocket Singh: Salesman of the Year,2009,13+,7.5,88%
Mr. Mom,1983,7+,6.5,82%
Gozu,2003,18+,7,72%
The Nutty Professor,1963,none,6.7,85%
Blood Brother,2013,7+,8.3,73%
The Weather Underground,2002,none,7.5,91%
The Falcon and the Snowman,1985,18+,6.8,81%
We Are Still Here,2015,none,5.7,95%
Miss Granny,2014,13+,7.3,80%
Eye of the Needle,1981,18+,7.1,81%
Avanti!,1972,18+,7.2,81%
A Girl Like Her,2015,13+,7,65%
Cries from Syria,2017,18+,8.1,100%
Trouble the Water,2008,none,7.4,96%
Shut Up and Play the Hits,2012,none,7.4,85%
Still Mine,2012,13+,7.4,92%
Alleluia! The Devil's Carnival,2016,none,6.8,100%
Padmaavat,2018,none,7,58%
Why We Fight,2005,13+,8,78%
Bill & Ted's Bogus Journey,1991,7+,6.3,54%
Bones Brigade: An Autobiography,2012,18+,8.1,77%
The Young and Prodigious T.S. Spivet,2013,all,7.1,76%
Hype!,1996,none,7.6,92%
Your Vice Is a Locked Room and Only I Have the Key,1972,18+,6.8,100%
Sign 'o' The Times,1987,13+,8.1,86%
Ghosts of Abu Ghraib,2007,18+,7.8,100%
The Connection,2014,18+,7.1,78%
The Bodyguard,1992,18+,6.3,33%
The Birth of a Nation,1915,7+,6.4,93%
The Decline of the American Empire,1986,18+,7.2,86%
Guava Island,2019,18+,6.7,76%
The Kentucky Fried Movie,1977,18+,6.5,81%
The Ninth Configuration,1980,18+,7,77%
Chico & Rita,2010,none,7.2,87%
Rewind This!,2013,none,7.1,100%
The Bride with White Hair,1993,none,6.9,100%
Fast Color,2019,13+,6,82%
An American Crime,2007,18+,7.3,38%
Dick Tracy,1990,7+,6.1,62%
Alamar,2010,all,7.3,91%
Coffy,1973,18+,6.8,79%
Strangled,2016,none,7,83%
Balibo,2009,none,7.1,100%
We Are Legion: The Story of the Hacktivists,2012,7+,7.3,73%
Ashes of Time,1994,18+,7.2,78%
Casting By,2012,16+,7.6,94%
The Little Shop of Horrors,1960,none,6.3,92%
The Island,2006,13+,7.9,63%
Neds,2010,16+,7,94%
The Cutting Edge,1992,7+,6.9,56%
Meet the Patels,2015,7+,7.2,87%
Topkapi,1964,none,7,90%
F/X,1986,18+,6.7,88%
Hara-Kiri: Death of a Samurai,2011,none,7.3,76%
Sui Dhaaga - Made in India,2018,7+,6.8,89%
Chuck Norris vs Communism,2015,none,7.5,100%
Climates,2006,none,7.2,73%
The True Cost,2015,13+,7.7,63%
Dog Pound,2010,none,7,65%
Liquid Sky,1982,18+,6.2,95%
The Hole in the Ground,2019,18+,5.7,84%
Dave Made a Maze,2017,none,6.2,85%
Creepy,2016,none,6.3,91%
Haunters: The Art of the Scare,2017,none,6.6,100%
The Ghazi Attack,2017,7+,7.6,60%
Young and Innocent,1937,none,6.9,100%
The Night Eats the World,2018,16+,6,85%
Marlina the Murderer in Four Acts,2017,none,7,98%
I Capture the Castle,2003,18+,6.9,79%
No No: A Dockumentary,2014,none,7.2,97%
Badrinath Ki Dulhania,2017,7+,6.2,80%
Belle and Sebastian,2013,none,6.9,91%
White Sun,2016,7+,7.1,100%
What's in a Name,2012,7+,7.3,71%
Bully,2001,18+,6.9,54%
Another Country,1984,7+,7.1,80%
The Decline of Western Civilization Part III,1998,18+,7.1,100%
The Midnight Meat Train,2008,18+,6.1,72%
The Living Dead at Manchester Morgue,1974,18+,6.8,85%
Somers Town,2008,none,6.9,96%
Nothing Sacred,1937,all,6.9,100%
Aberdeen,2000,none,7.1,87%
Mystery Road,2013,none,6.6,92%
10 Rillington Place,1971,7+,7.6,58%
Spring in a Small Town,1948,none,7.4,100%
The Man in the Iron Mask,1998,13+,6.5,33%
The Boys of St. Vincent,1992,none,7.6,100%
High Life,2018,18+,5.8,82%
Under the Silver Lake,2018,18+,6.5,58%
Jean-Michel Basquiat: The Radiant Child,2010,none,7.8,86%
The Farewell Party,2014,none,7.1,94%
Breakfast on Pluto,2005,18+,7.2,57%
Give Up Tomorrow,2011,none,7.7,100%
The Big Easy,1986,18+,6.5,89%
Double Dare,2004,none,7.4,97%
Amal,2007,none,7.5,100%
Finders Keepers,2015,18+,6.8,98%
M.F.A.,2017,none,6.1,78%
After Tiller,2013,13+,7.5,92%
You're Not You,2014,18+,7.3,48%
Gideon's Army,2013,7+,7.7,100%
The Rape of Europa,2007,none,7.7,82%
Mr. Calzaghe,2015,none,8,100%
Wait for Your Laugh,2017,none,8.3,89%
That Sugar Film,2014,7+,7.5,68%
A Field in England,2013,none,6.3,86%
Meatballs,1979,7+,6.2,72%
The Quiet Family,1998,none,7,80%
Western,2017,none,7,96%
Morvern Callar,2002,18+,6.8,84%
Trouble Is My Business,2018,7+,6,100%
Call Me Kuchu,2012,none,7.6,98%
Just Eat It: A Food Waste Story,2014,none,7.2,100%
Cockfighter,1974,18+,7.1,100%
Winning: The Racing Life of Paul Newman,2015,none,7.6,90%
Best Kept Secret,2013,none,7.4,100%
The Vikings,1958,none,7.1,78%
The Soloist,2009,13+,6.7,57%
Life with Father,1947,none,7.2,92%
Class of 1984,1982,18+,6.6,74%
On the Edge,2001,18+,7,67%
Electrick Children,2012,18+,6.8,88%
Sleepless Night,2011,none,6.7,97%
East Side Sushi,2014,7+,7.1,95%
The First Great Train Robbery,1978,7+,6.9,73%
Conversations with Other Women,2006,18+,7,74%
Intact,2001,18+,6.9,72%
Apostasy,2017,16+,6.8,97%
Oedipus Rex,1967,none,7.4,86%
Black Souls,2014,none,6.8,90%
Way Down East,1920,none,7.4,94%
The Violin,2005,none,7.7,94%
Zama,2017,none,6.7,96%
Death of a Superhero,2011,none,7.1,91%
James White,2015,18+,7.1,92%
Images,1972,18+,7.1,69%
99 River Street,1953,none,7.4,100%
Next,2007,13+,6.2,28%
Grave Encounters,2011,18+,6.1,64%
The Woman in Green,1945,none,6.7,100%
Taking Chance,2009,none,7.4,57%
Kansas City Confidential,1952,none,7.4,83%
The Street Fighter,1974,none,7.1,80%
Spun,2002,18+,6.8,37%
Flight of the Butterflies,2012,all,6.9,100%
This Beautiful Fantastic,2016,7+,6.9,61%
Henri-Georges Clouzot's Inferno,2009,none,7.5,100%
The Private Life of Henry VIII,1933,none,7.1,100%
The Forbidden Room,2015,none,6.1,96%
Suddenly,1954,none,6.8,100%
In the Soup,1992,18+,7.1,92%
Orphans of the Storm,1921,none,7.4,92%
A Late Quartet,2012,18+,7.1,76%
Inferno,1980,18+,6.6,64%
Frequently Asked Questions About Time Travel,2009,13+,7.1,38%
The Vanishing,2018,18+,5.8,85%
Antarctica: A Year on Ice,2013,7+,7.6,87%
The Ultimate Gift,2006,7+,7.3,32%
What Have You Done to Solange?,1972,18+,7,80%
Things to Come,1936,none,6.7,93%
Alice Sweet Alice,1976,18+,6.5,82%
How I Ended This Summer,2010,none,7,79%
To End All Wars,2001,18+,7,62%
Lila Says,2005,18+,6.9,68%
Admiral,2015,7+,7,67%
The Fits,2016,none,6.7,97%
The Chant of Jimmie Blacksmith,1978,none,7.3,100%
Keep the Lights On,2012,none,6.4,89%
Marjorie Prime,2017,none,6.3,90%
Bunty Aur Babli,2005,7+,6.2,83%
Fear of a Black Hat,1994,18+,7.2,86%
The Fencer,2015,none,7.1,85%
Keep the Change,2018,none,6.3,100%
The Shooting,1966,all,6.6,100%
Two Hands,1999,18+,7.1,67%
The Golden Coach,1952,none,7,100%
Savior,1998,18+,7.3,56%
Young Sherlock Holmes,1985,13+,6.8,64%
Starry Eyes,2014,none,6,74%
Home,2009,none,8.6,none
The Southerner,1945,none,7.1,91%
Orchestra Rehearsal,1978,18+,7.2,88%
Family,2019,18+,6.3,75%
Narco Cultura,2013,18+,7.2,89%
Harmontown,2014,none,7.3,79%
Baby Boom,1987,7+,6.2,75%
Oddball,2015,7+,6.4,87%
Dr. Jekyll and Mr. Hyde,1920,none,7,92%
Tiger Zinda Hai,2017,7+,6,73%
Ill Manors,2012,13+,7.1,77%
Hollywood Shuffle,1987,18+,7,88%
They Look Like People,2016,none,5.9,92%
American Grindhouse,2011,none,7.1,86%
The Winslow Boy,1999,all,7.3,97%
The Retrieval,2014,18+,6.6,93%
The Comedy of Terrors,1964,none,6.7,89%
11:55,2017,18+,4.9,100%
Everlasting,2016,none,6.6,100%
Cobra Verde,1987,none,7,82%
Cutter's Way,1981,18+,6.9,91%
Sweet Land,2005,7+,7.1,85%
T-Men,1948,none,7,100%
The Family I Had,2017,none,6.9,100%
Twist of Faith,2005,18+,7.2,100%
Brad's Status,2017,18+,6.5,80%
Super Inframan,1975,7+,6.3,100%
Trilogy of Terror,1975,none,6.6,91%
102 Not Out,2018,7+,7.4,67%
Cash Only,2015,none,6.1,100%
Detainment,2018,18+,7.4,83%
Hichki,2018,7+,7.5,55%
The English Surgeon,2009,16+,8.1,89%
The Dirties,2013,none,6.9,81%
Unplanned,2019,18+,5.8,40%
The Front,1976,7+,7.3,73%
College,1927,none,7.1,89%
Never Grow Old,2019,18+,5.9,90%
Seoul Station,2016,none,6.1,100%
Across 110th Street,1972,18+,7,81%
Ice Mother,2017,none,6.8,100%
Royal Wedding,1951,none,6.7,92%
Almost Holy,2015,18+,7.5,98%
The Assassin,2015,none,6.3,80%
Bad Samaritan,2018,18+,6.4,53%
Stations of the Cross,2014,none,7.4,92%
Eden,2012,18+,6.6,86%
Love on a Leash,2011,none,9.3,none
Dreams with Sharp Teeth,2008,none,7.8,100%
Little Big Man,1970,13+,7.6,96%
Jellyfish,2007,none,7,87%
Do You Trust this Computer?,2018,none,7.4,71%
The King of Masks,1995,none,7.7,89%
Big Eden,2000,13+,7.3,65%
The Cat o' Nine Tails,1971,none,6.7,81%
Brimstone,2016,18+,7.1,41%
LFO,2013,none,6.6,100%
Cyrano de Bergerac,1950,none,7.5,85%
Rabid,1977,18+,6.3,73%
Of Human Bondage,1934,none,7.2,85%
Kung Fu Jungle,2014,none,6.5,75%
Hagazussa,2018,none,5.9,96%
Euthanizer,2017,none,6.8,87%
The Marriage Circle,1924,none,7.2,100%
The World Before Your Feet,2018,13+,7.6,100%
On Any Sunday,1971,all,7.8,83%
In Which We Serve,1942,none,7.2,89%
The Children Act,2017,18+,6.7,74%
Convoy,1978,7+,6.4,43%
What Will People Say,2017,none,7.4,78%
The Exorcist III,1990,18+,6.4,59%
Off the Rails,2016,16+,7.1,100%
Long Weekend,1978,13+,6.6,86%
Return of the Hero,2018,13+,6.5,80%
Kid Cannabis,2014,none,6.4,71%
Beauty Is Embarrassing,2012,none,7.4,91%
Blue My Mind,2018,none,6.1,77%
The Inspector General,1949,none,6.8,90%
Animal Factory,2000,18+,6.6,82%
Shanghai Triad,1995,18+,7.1,87%
Gloria Bell,2018,18+,6.3,91%
The Prophecy,1995,18+,6.5,43%
Manufactured Landscapes,2006,none,7.3,84%
"Cairo 6,7,8",2010,none,7.5,80%
The Way of the Gun,2000,18+,6.7,45%
Soapdish,1991,13+,6.6,69%
